Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(923.01953125, 79.2734375),2025-02-21 22:02:51
Mouse,(Move),Moved,(973.609375, 79.2734375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1069.8125, 94.3046875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1101.19140625, 112.76171875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1160.39453125, 142.36328125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1199.984375, 175.35546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1226.2734375, 209.734375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1236.8203125, 241.375),2025-02-21 22:02:51
Mouse,(Move),Moved,(1239.1953125, 300.8125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1235.5, 335.8828125),2025-02-21 22:02:51
Mouse,(Move),Moved,(1203.8359375, 371.765625),2025-02-21 22:02:51
Mouse,(Move),Moved,(1154.49609375, 413.69921875),2025-02-21 22:02:51
Mouse,(Move),Moved,(1030.58984375, 486.58203125),2025-02-21 22:02:51
Mouse,(Move),Moved,(937.390625, 519.6484375),2025-02-21 22:02:51
Mouse,(Move),Moved,(829.0078125, 545.1484375),2025-02-21 22:02:51
Mouse,(Move),Moved,(778.4140625, 549.546875),2025-02-21 22:02:52
Mouse,(Move),Moved,(682.20703125, 555.55859375),2025-02-21 22:02:52
Mouse,(Move),Moved,(602.8671875, 555.55859375),2025-02-21 22:02:52
Mouse,(Move),Moved,(577.54296875, 549.2265625),2025-02-21 22:02:52
Mouse,(Move),Moved,(481.53515625, 508.96484375),2025-02-21 22:02:52
Mouse,(Move),Moved,(451.19921875, 476.60546875),2025-02-21 22:02:52
Mouse,(Move),Moved,(437.0390625, 436.15625),2025-02-21 22:02:52
Mouse,(Move),Moved,(437.0390625, 389.71484375),2025-02-21 22:02:52
Mouse,(Move),Moved,(448.578125, 300.28125),2025-02-21 22:02:52
Mouse,(Move),Moved,(500.5546875, 240.09375),2025-02-21 22:02:52
Mouse,(Move),Moved,(544.54296875, 213.6953125),2025-02-21 22:02:52
Mouse,(Move),Moved,(689.59375, 131.3671875),2025-02-21 22:02:52
Mouse,(Move),Moved,(740.18359375, 122.56640625),2025-02-21 22:02:52
Mouse,(Move),Moved,(847.8203125, 109.90234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(950.015625, 109.90234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(985.0859375, 109.90234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(1049.22265625, 119.76953125),2025-02-21 22:02:52
Mouse,(Move),Moved,(1095.4140625, 141.76171875),2025-02-21 22:02:52
Mouse,(Move),Moved,(1104.58984375, 150.9375),2025-02-21 22:02:52
Mouse,(Move),Moved,(1145.78125, 187.55078125),2025-02-21 22:02:52
Mouse,(Move),Moved,(1150.00390625, 207.26171875),2025-02-21 22:02:52
Mouse,(Move),Moved,(1150.00390625, 249.73046875),2025-02-21 22:02:52
Mouse,(Move),Moved,(1132.421875, 277.85546875),2025-02-21 22:02:52
Mouse,(Move),Moved,(1088.9375, 314.46875),2025-02-21 22:02:52
Mouse,(Move),Moved,(978.1796875, 383.6875),2025-02-21 22:02:52
Mouse,(Move),Moved,(879.359375, 428.3125),2025-02-21 22:02:52
Mouse,(Move),Moved,(771.1640625, 467.65234375),2025-02-21 22:02:52
Mouse,(Move),Moved,(720.5703125, 478.6484375),2025-02-21 22:02:52
Mouse,(Move),Moved,(624.36328125, 502.69921875),2025-02-21 22:02:52
Mouse,(Move),Moved,(539.70703125, 516.8046875),2025-02-21 22:02:52
Mouse,(Move),Moved,(511.3125, 518.47265625),2025-02-21 22:02:52
Mouse,(Move),Moved,(451.87109375, 518.47265625),2025-02-21 22:02:52
Mouse,(Move),Moved,(437.0625, 518.47265625),2025-02-21 22:02:52
Mouse,(Move),Moved,(377.62109375, 508.9609375),2025-02-21 22:02:52
Mouse,(Move),Moved,(358.19921875, 495.515625),2025-02-21 22:02:52
Mouse,(Move),Moved,(346.234375, 476.078125),2025-02-21 22:02:52
Mouse,(Move),Moved,(336.5625, 437.39453125),2025-02-21 22:02:52
Mouse,(Move),Moved,(336.5625, 420.22265625),2025-02-21 22:02:52
